รหัสสาขา,ชื่อสาขา,อำเภอ,จังหวัด,ละติจูด,ลองจิจูด,สถานะ
CJX00004,ห้วยม่วง,กำแพงแสน,นครปฐม,14.130136,100.021865,Active store
CJX00005,ลำเหย,ดอนตูม,นครปฐม,13.952795,100.046045,Active store
CJX00006,ชุมชนห้วยด้วน,ดอนตูม,นครปฐม,13.885199,100.10204,Active store
CJX00007,ราษฎร์ศรัทธา,บ้านแพ้ว,สมุทรสาคร,13.594816,100.133629,Active store
CJX00008,บ้านหนองรี,โพธาราม,ราชบุรี,13.731757,99.906247,Active store
CJX00009,ลานตากฟ้า,นครชัยศรี,นครปฐม,13.833089,100.227841,Active store
CJX00010,ลานคา,บางเลน,นครปฐม,14.043524,100.117372,Cancel
CJX00011,บ้านสร้อยฟ้า,โพธาราม,ราชบุรี,13.737447,99.841582,Active store
CJX00012,สองห้อง,กำแพงแสน,นครปฐม,13.922712,100.044021,Active store
CJX00013,ซอย วปอ.11,กระทุ่มแบน,สมุทรสาคร,13.671266,100.288008,Active store
CJX00014,ซอยนวลทอง,กระทุ่มแบน,สมุทรสาคร,13.681685,100.30001,Active store
CJX00015,นาคบำรุง,กระทุ่มแบน,สมุทรสาคร,13.671198,100.327767,Active store
CJX00016,บ้านม่วงตารศ,เมืองนครปฐม,นครปฐม,13.873152,100.021939,Active store
CJX00017,หน้าโรงเรียนการบิน,กำแพงแสน,นครปฐม,14.088192,99.943845,Active store
CJX00018,ท่าน้ำตื้น,เมืองกาญจนบุรี,กาญจนบุรี,14.051804,99.473343,Active store
CJX00019,คลองราษฎร์สามัคคี,เมืองสมุทรสาคร,สมุทรสาคร,13.607783,100.300231,Active store
CJX00020,วังขนาย,ท่าม่วง,กาญจนบุรี,13.954763,99.643445,Active store
CJX00021,ทุ่งทองกาญจน์,ท่าม่วง,กาญจนบุรี,13.982739,99.64167,Active store
CJX00022,อ้ออีเขียว,บ้านโป่ง,ราชบุรี,13.900628,99.858948,Active store
CJX00023,บ้านท่าเสา,ท่ามะกา,กาญจนบุรี,13.865083,99.806395,Active store
CJX00024,หนองอ้อ,บ้านโป่ง,ราชบุรี,13.78037,99.90161,Active store
CJX00025,พงสวาย,เมืองราชบุรี,ราชบุรี,13.537649,99.848914,Active store
CJX00026,ดอนกระเบื้อง,โพธาราม,ราชบุรี,13.754596,99.91564,Active store
CJX00027,เขาปิ่นทอง,จอมบึง,ราชบุรี,13.660085,99.689369,Active store
