ชื่อที่พัก,ราคาต่อคืน,อำเภอ,จังหวัด,ละติจูด,ลองจิจูด
41 บีเคเค โฮเทล พระราม9,560,สวนหลวง,กรุงเทพมหานคร,13.746937,100.623866
5ช้าง พาเลซ,560,บางเขน,กรุงเทพมหานคร,13.872471,100.61501
99/9 บ็อกซ์ รีสอร์ท,550,เมือง,เพชรบุรี,13.074059,99.945052
ก๋งเสือ รีสอร์ท,480,แกลง,ระยอง,12.763059,101.713445
กนกอุดมเพลส 3,560,เมือง,พระนครศรีอยุธยา,14.339035299999999,100.59630469999999
กบินทร์บุรี รีสอร์ท,530,กบินทร์บุรี,ปราจีนบุรี,13.9968861,101.73424
กรวีร์ รีสอร์ท,560,กบินทร์บุรี,ปราจีนบุรี,13.9840131,101.762219
กรีน รีสอร์ท บ่อวิน,560,ศรีราชา,ชลบุรี,13.003576,101.082112
กรีน รีสอร์ท ระยอง,560,เมือง,ระยอง,12.725924,101.223748
กรีนปาร์ค,480,เมือง,ปราจีนบุรี,14.034131,101.414495
กรีนฟิลด์ รีสอร์ท,550,เมือง,สระบุรี,14.460959,100.9375
กรีนวิว รีสอร์ท ท่ายาง,470,ท่ายาง,เพชรบุรี,12.981754,99.899777
กรีนเฮ้าส์อยุธยา,560,ปากช่อง,พระนครศรีอยุธยา,14.304087,100.577277
กฤติมา เพลส,560,สามพราน,นครปฐม,13.7236535,100.3307511
กล้วยไม้ เรสซิเดนท์,540,สัตหีบ,ชลบุรี,12.727901,100.982994
ก่อนเกาะโฮเทล แหลมงอบ,560,แหลมงอบ,ตราด,12.177212,102.398759
กัญญ์วรา ปลวกแดง,500,ปลวกแดง,ระยอง,12.971447,101.212303
การ์เด้น รีสอร์ท กบินทร์บุรี,540,กบินทร์บุรี,ปราจีนบุรี,14.0615399,101.8030298
กาลเวลา โฮเทล,560,จอมบึง,ราชบุรี,13.624502,99.612107
กำลังใจ รีสอร์ท,530,สองพี่น้อง,สุพรรณบุรี,14.221672,99.919758
กินรี กาญจน์ อพาร์ทเม้นท์,490,เมือง,กาญจนบุรี,14.012713,99.549074
กินรี อพาร์ทเม้นต์,470,เมือง,สุพรรณบุรี,14.461733,100.10114
